GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6001,"Alameda, CA",1,All industry total,90033250,92823595,97203584,102651288,109296260,119856797,126100394,133468782,140288623,146210749
6001,"Alameda, CA",2,  Private industries,78573841,81202788,85397594,90059076,95788185,105483309,110996390,118193746,124521937,129851568
6001,"Alameda, CA",3,"    Agriculture, forestry, fishing and hunting",(D),(D),88095,86671,89948,95076,92398,107973,84100,94540
6001,"Alameda, CA",6,"    Mining, quarrying, and oil and gas extraction",36944,46066,48343,45274,57618,46688,65231,86291,56210,46265
6001,"Alameda, CA",10,    Utilities,253021,267866,273903,472311,553615,660796,439558,463549,534421,538374
6001,"Alameda, CA",11,    Construction,4367652,4181872,4049095,4391359,4569823,5245249,5860359,6547940,7434606,7961103
6001,"Alameda, CA",12,    Manufacturing,10201350,10370552,11395552,11813879,12135312,13981922,14938905,16546949,17177991,17363696
6001,"Alameda, CA",13,      Durable goods manufacturing,6771124,6787663,7057289,7504096,7930900,9429354,10541413,12409239,13017003,13309121
6001,"Alameda, CA",25,      Nondurable goods manufacturing,3430226,3582889,4338264,4309783,4204412,4552568,4397492,4137710,4160987,4054575
6001,"Alameda, CA",34,    Wholesale trade,6656587,7295857,7400372,7633808,7940558,8621693,8460437,8788269,8989919,9422483
6001,"Alameda, CA",35,    Retail trade,4800265,4960989,5592208,5916899,6192107,6463443,6576384,6847001,6906763,7312683
6001,"Alameda, CA",36,    Transportation and warehousing,(D),(D),2923642,2973080,3107368,3409865,3674183,3871124,4244746,4492219
6001,"Alameda, CA",45,    Information,5396334,5262688,5545896,6106655,6056225,7157673,8590136,8623094,9390021,10288996
6001,"Alameda, CA",50,"    Finance, insurance, real estate, rental, and leasing",16062519,16555309,16909103,18267512,21314695,22688632,24317848,26761811,28085872,28508105
6001,"Alameda, CA",51,      Finance and insurance,2295272,2470874,2573368,2615301,4287993,4657067,5086030,6325252,6141942,6271301
6001,"Alameda, CA",56,      Real estate and rental and leasing,13767246,14084435,14335735,15652211,17026702,18031565,19231818,20436560,21943929,22236804
6001,"Alameda, CA",59,    Professional and business services,14698548,15995316,17129863,17583018,18056666,19789931,19636384,20844564,22180295,23282635
6001,"Alameda, CA",60,"      Professional, scientific, and technical services",9838991,10502147,11251225,11482781,12300592,13779982,13725218,14403866,15091067,15854034
6001,"Alameda, CA",64,      Management of companies and enterprises,2371853,3002747,3320647,3383081,2844196,2851587,2542173,2750771,3148641,3311890
6001,"Alameda, CA",65,      Administrative and support and waste management and remediation services,2487704,2490422,2557991,2717156,2911878,3158362,3368993,3689927,3940586,4116711
6001,"Alameda, CA",68,"    Educational services, health care, and social assistance",8644810,8475040,8945535,9498771,9949283,10655795,11107703,10952324,11267469,11842171
6001,"Alameda, CA",69,      Educational services,960644,1011152,1054086,1072672,1222084,1245176,1314573,1342006,1378789,1399531
6001,"Alameda, CA",70,      Health care and social assistance,7684166,7463888,7891450,8426099,8727199,9410619,9793130,9610318,9888681,10442640
6001,"Alameda, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",2575518,2838324,3168200,3249126,3660608,4434378,4862520,5221455,5425235,5804229
6001,"Alameda, CA",76,"      Arts, entertainment, and recreation",885920,1023198,1151203,981023,1045306,1432140,1603007,1743143,1728802,1867231
6001,"Alameda, CA",79,      Accommodation and food services,1689598,1815126,2016997,2268103,2615302,3002238,3259513,3478312,3696433,3936998
6001,"Alameda, CA",82,    Other services (except government and government enterprises),1831834,1877359,1927784,2020712,2104356,2232168,2374343,2531402,2744289,2894069
6001,"Alameda, CA",83,Government and government enterprises,11459409,11620807,11805990,12592212,13508076,14373488,15104004,15275036,15766687,16359181
6001,"Alameda, CA",,Addenda:,,,,,,,,,,
6001,"Alameda, CA",87,Natural resources and mining,(D),(D),136439,131946,147566,141764,157629,194263,140310,140805
6001,"Alameda, CA",88,Trade,11456852,12256846,12992581,13550707,14132665,15085136,15036822,15635270,15896682,16735166
6001,"Alameda, CA",89,Transportation and utilities,(D),(D),3197546,3445391,3660983,4070661,4113741,4334673,4779167,5030593
6001,"Alameda, CA",90,Manufacturing and information,15597684,15633240,16941448,17920534,18191537,21139595,23529041,25170044,26568012,27652692
6001,"Alameda, CA",91,Private goods-producing industries 2/,(D),(D),15581086,16337184,16852702,19368935,20956892,23289153,24752908,25465603
6001,"Alameda, CA",92,Private services-providing industries 3/,(D),(D),69816508,73721892,78935483,86114374,90039498,94904594,99769029,104385965
