StartEndYear,Period,Area,Series code,Industry,Adjusted,Benchmark,No. of Employed
"2020","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","749,100"
"2020","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","749,900"
"2020","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","129,600"
"2020","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","619,600"
"2020","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","700"
"2020","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","46,600"
"2020","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","83,000"
"2020","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","61,500"
"2020","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","21,500"
"2020","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","128,900"
"2020","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","33,500"
"2020","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","62,000"
"2020","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","33,400"
"2020","Annual","Alameda County","50000000","Information","Not Adj","2020","19,900"
"2020","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","27,300"
"2020","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","17,400"
"2020","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","10,000"
"2020","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","128,800"
"2020","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","74,200"
"2020","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","15,800"
"2020","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","38,800"
"2020","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","120,900"
"2020","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","13,900"
"2020","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","107,000"
"2020","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","52,900"
"2020","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","7,200"
"2020","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","45,700"
"2020","Annual","Alameda County","80000000","Other Services","Not Adj","2020","22,400"
"2020","Annual","Alameda County","90000000","Government","Not Adj","2020","118,400"
"2020","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,000"
"2020","Annual","Alameda County","90920000","State Government","Not Adj","2020","36,300"
"2020","Annual","Alameda County","90930000","Local Government","Not Adj","2020","73,100"
"2019","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","814,500"
"2019","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","815,200"
"2019","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","134,600"
"2019","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","679,900"
"2019","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","700"
